Storage Results,,,,,,,,,,,,,,,,,,,,,,
Context Model,Query Table,QueryJob Table,,,,,,,,,,,,,,,,,,,,
Testcase 10,,,,,,,,,,,,,,,,,,,,,,
46,514,24,24,,,,,,,,,,,,,,,,,,,
43,451,25,30,,,,,,,,,,,,,,,,,,,
43,506,10,12,,,,,,,,,,,,,,,,,,,
51,428,15,14,,,,,,,,,,,,,,,,,,,
44,450,25,39,,,,,,,,,,,,,,,,,,,
43,402,17,15,,,,,,,,,,,,,,,,,,,
43,439,15,13,,,,,,,,,,,,,,,,,,,
44,452,16,17,,,,,,,,,,,,,,,,,,,
44,545,23,12,,,,,,,,,,,,,,,,,,,
43,430,33,35,,,,,,,,,,,,,,,,,,,
98,526,26,34,,,,,,,,,,,,,,,,,,,
Testcase 17,,,,,,,,,,,,,,,,,,,,,,
42,681,22,13,,,,,,,,,,,,,,,,,,,
99,714,24,22,,,,,,,,,,,,,,,,,,,
65,671,15,21,,,,,,,,,,,,,,,,,,,
52,765,14,20,,,,,,,,,,,,,,,,,,,
43,662,23,30,,,,,,,,,,,,,,,,,,,
40,719,20,15,,,,,,,,,,,,,,,,,,,
45,731,15,28,,,,,,,,,,,,,,,,,,,
47,721,10,11,,,,,,,,,,,,,,,,,,,
44,755,15,13,,,,,,,,,,,,,,,,,,,
45,712,14,15,,,,,,,,,,,,,,,,,,,
43,588,15,18,,,,,,,,,,,,,,,,,,,
101,668,15,11,,,,,,,,,,,,,,,,,,,
45,725,15,12,,,,,,,,,,,,,,,,,,,
55,677,15,11,,,,,,,,,,,,,,,,,,,
43,746,23,34,,,,,,,,,,,,,,,,,,,
44,632,10,14,,,,,,,,,,,,,,,,,,,
44,820,15,29,,,,,,,,,,,,,,,,,,,
54,738,20,20,,,,,,,,,,,,,,,,,,,
42,686,11,11,,,,,,,,,,,,,,,,,,,
52,761,30,39,,,,,,,,,,,,,,,,,,,
46,718,10,11,,,,,,,,,,,,,,,,,,,
43,746,10,12,,,,,,,,,,,,,,,,,,,
45,813,18,14,,,,,,,,,,,,,,,,,,,
43,623,15,11,,,,,,,,,,,,,,,,,,,
43,680,13,26,,,,,,,,,,,,,,,,,,,
61,703,15,12,,,,,,,,,,,,,,,,,,,
43,630,11,19,,,,,,,,,,,,,,,,,,,
43,629,15,16,,,,,,,,,,,,,,,,,,,
43,716,15,29,,,,,,,,,,,,,,,,,,,
51,664,14,11,,,,,,,,,,,,,,,,,,,
43,656,25,51,,,,,,,,,,,,,,,,,,,
51,651,18,13,,,,,,,,,,,,,,,,,,,
105,666,14,13,,,,,,,,,,,,,,,,,,,
43,654,18,17,,,,,,,,,,,,,,,,,,,
46,660,11,11,,,,,,,,,,,,,,,,,,,
43,673,15,11,,,,,,,,,,,,,,,,,,,
50,860,10,11,,,,,,,,,,,,,,,,,,,
44,697,10,11,,,,,,,,,,,,,,,,,,,
45,790,22,27,,,,,,,,,,,,,,,,,,,
Testcase 7,,,,,,,,,,,,,,,,,,,,,,
43,204,30,22,,,,,,,,,,,,,,,,,,,
43,225,19,13,,,,,,,,,,,,,,,,,,,
74,223,30,57,,,,,,,,,,,,,,,,,,,
55,230,30,31,,,,,,,,,,,,,,,,,,,
53,235,26,51,,,,,,,,,,,,,,,,,,,
43,261,25,35,,,,,,,,,,,,,,,,,,,
43,182,20,19,,,,,,,,,,,,,,,,,,,
43,191,33,31,,,,,,,,,,,,,,,,,,,
50,186,35,32,,,,,,,,,,,,,,,,,,,
42,222,19,36,,,,,,,,,,,,,,,,,,,
44,226,22,37,,,,,,,,,,,,,,,,,,,
43,225,35,29,,,,,,,,,,,,,,,,,,,
42,170,30,42,,,,,,,,,,,,,,,,,,,
43,249,37,45,,,,,,,,,,,,,,,,,,,
42,211,31,35,,,,,,,,,,,,,,,,,,,
49,373,41,30,,,,,,,,,,,,,,,,,,,
43,248,18,15,,,,,,,,,,,,,,,,,,,
70,214,20,32,,,,,,,,,,,,,,,,,,,
42,175,30,30,,,,,,,,,,,,,,,,,,,
45,264,30,42,,,,,,,,,,,,,,,,,,,
43,219,11,15,,,,,,,,,,,,,,,,,,,
43,186,29,25,,,,,,,,,,,,,,,,,,,
43,183,38,45,,,,,,,,,,,,,,,,,,,
69,221,26,44,,,,,,,,,,,,,,,,,,,
60,178,35,46,,,,,,,,,,,,,,,,,,,
45,321,31,54,,,,,,,,,,,,,,,,,,,
45,231,20,20,,,,,,,,,,,,,,,,,,,
43,196,29,25,,,,,,,,,,,,,,,,,,,
58,217,9,12,,,,,,,,,,,,,,,,,,,
45,164,16,18,,,,,,,,,,,,,,,,,,,
45,214,35,36,,,,,,,,,,,,,,,,,,,
43,279,16,12,,,,,,,,,,,,,,,,,,,
43,192,27,33,,,,,,,,,,,,,,,,,,,
43,231,33,37,,,,,,,,,,,,,,,,,,,
49,231,26,35,,,,,,,,,,,,,,,,,,,
46,202,15,10,,,,,,,,,,,,,,,,,,,
50,228,31,35,,,,,,,,,,,,,,,,,,,
44,219,16,16,,,,,,,,,,,,,,,,,,,
42,310,15,33,,,,,,,,,,,,,,,,,,,
51,210,28,24,,,,,,,,,,,,,,,,,,,
42,228,10,13,,,,,,,,,,,,,,,,,,,
44,223,29,45,,,,,,,,,,,,,,,,,,,
43,194,18,15,,,,,,,,,,,,,,,,,,,
43,192,13,18,,,,,,,,,,,,,,,,,,,
53,280,32,59,,,,,,,,,,,,,,,,,,,
Testcase 16,,,,,,,,,,,,,,,,,,,,,,
114,46375,156,40,,,,,,,,,,,,,,,,,,,
75,47174,162,46,,,,,,,,,,,,,,,,,,,
67,46327,263,68,,,,,,,,,,,,,,,,,,,
84,48131,137,43,,,,,,,,,,,,,,,,,,,
69,44798,143,48,,,,,,,,,,,,,,,,,,,
70,48192,142,44,,,,,,,,,,,,,,,,,,,
82,46516,300,69,,,,,,,,,,,,,,,,,,,
69,47876,164,36,,,,,,,,,,,,,,,,,,,
61,42592,325,51,,,,,,,,,,,,,,,,,,,
98,43904,273,42,,,,,,,,,,,,,,,,,,,
69,45718,140,59,,,,,,,,,,,,,,,,,,,
70,42659,519,64,,,,,,,,,,,,,,,,,,,
175,44536,252,49,,,,,,,,,,,,,,,,,,,
108,42986,264,29,,,,,,,,,,,,,,,,,,,
63,43786,80,73,,,,,,,,,,,,,,,,,,,
60,43339,121,39,,,,,,,,,,,,,,,,,,,
61,45714,150,60,,,,,,,,,,,,,,,,,,,
75,45520,155,54,,,,,,,,,,,,,,,,,,,
62,44470,290,42,,,,,,,,,,,,,,,,,,,
65,44293,314,53,,,,,,,,,,,,,,,,,,,
73,43624,249,46,,,,,,,,,,,,,,,,,,,
60,44286,144,45,,,,,,,,,,,,,,,,,,,
63,44945,157,44,,,,,,,,,,,,,,,,,,,
61,42596,327,42,,,,,,,,,,,,,,,,,,,
63,45131,155,33,,,,,,,,,,,,,,,,,,,
57,45833,142,39,,,,,,,,,,,,,,,,,,,
91,43707,321,36,,,,,,,,,,,,,,,,,,,
73,45800,270,47,,,,,,,,,,,,,,,,,,,
52,46586,304,39,,,,,,,,,,,,,,,,,,,
74,43121,257,33,,,,,,,,,,,,,,,,,,,
77,43669,274,45,,,,,,,,,,,,,,,,,,,
103,45555,120,38,,,,,,,,,,,,,,,,,,,
96,43917,165,34,,,,,,,,,,,,,,,,,,,
51,43348,274,35,,,,,,,,,,,,,,,,,,,
81,44437,307,43,,,,,,,,,,,,,,,,,,,
59,43776,128,45,,,,,,,,,,,,,,,,,,,
61,43895,310,31,,,,,,,,,,,,,,,,,,,
81,48064,154,48,,,,,,,,,,,,,,,,,,,
64,42153,171,43,,,,,,,,,,,,,,,,,,,
85,43750,282,41,,,,,,,,,,,,,,,,,,,
89,43332,139,36,,,,,,,,,,,,,,,,,,,
72,42462,165,42,,,,,,,,,,,,,,,,,,,
72,43093,212,44,,,,,,,,,,,,,,,,,,,
77,41582,311,55,,,,,,,,,,,,,,,,,,,
85,43272,297,66,,,,,,,,,,,,,,,,,,,
Testcase 4,,,,,,,,,,,,,,,,,,,,,,
67,172,29,42,,,,,,,,,,,,,,,,,,,
42,185,11,12,,,,,,,,,,,,,,,,,,,
43,272,15,14,,,,,,,,,,,,,,,,,,,
51,203,14,17,,,,,,,,,,,,,,,,,,,
57,269,30,47,,,,,,,,,,,,,,,,,,,
42,243,20,18,,,,,,,,,,,,,,,,,,,
59,223,27,27,,,,,,,,,,,,,,,,,,,
43,228,15,12,,,,,,,,,,,,,,,,,,,
42,214,18,15,,,,,,,,,,,,,,,,,,,
43,209,21,15,,,,,,,,,,,,,,,,,,,
43,159,21,20,,,,,,,,,,,,,,,,,,,
43,219,13,13,,,,,,,,,,,,,,,,,,,
54,224,25,31,,,,,,,,,,,,,,,,,,,
54,173,13,18,,,,,,,,,,,,,,,,,,,
43,174,12,20,,,,,,,,,,,,,,,,,,,
42,183,21,18,,,,,,,,,,,,,,,,,,,
43,217,28,27,,,,,,,,,,,,,,,,,,,
42,342,18,21,,,,,,,,,,,,,,,,,,,
51,200,15,25,,,,,,,,,,,,,,,,,,,
43,220,31,52,,,,,,,,,,,,,,,,,,,
50,213,26,29,,,,,,,,,,,,,,,,,,,
43,224,25,21,,,,,,,,,,,,,,,,,,,
43,240,20,20,,,,,,,,,,,,,,,,,,,
44,234,11,14,,,,,,,,,,,,,,,,,,,
53,254,25,31,,,,,,,,,,,,,,,,,,,
54,178,18,21,,,,,,,,,,,,,,,,,,,
43,228,14,12,,,,,,,,,,,,,,,,,,,
44,193,30,35,,,,,,,,,,,,,,,,,,,
46,176,16,13,,,,,,,,,,,,,,,,,,,
45,201,19,15,,,,,,,,,,,,,,,,,,,
42,261,15,12,,,,,,,,,,,,,,,,,,,
43,259,20,16,,,,,,,,,,,,,,,,,,,
51,267,26,22,,,,,,,,,,,,,,,,,,,
42,223,20,16,,,,,,,,,,,,,,,,,,,
67,229,30,53,,,,,,,,,,,,,,,,,,,
43,208,16,26,,,,,,,,,,,,,,,,,,,
43,195,25,25,,,,,,,,,,,,,,,,,,,
Testcase 6,,,,,,,,,,,,,,,,,,,,,,
43,202,21,17,,,,,,,,,,,,,,,,,,,
51,191,16,18,,,,,,,,,,,,,,,,,,,
46,308,27,46,,,,,,,,,,,,,,,,,,,
44,291,22,29,,,,,,,,,,,,,,,,,,,
65,232,27,27,,,,,,,,,,,,,,,,,,,
45,265,29,46,,,,,,,,,,,,,,,,,,,
50,255,34,33,,,,,,,,,,,,,,,,,,,
43,224,14,11,,,,,,,,,,,,,,,,,,,
77,214,31,56,,,,,,,,,,,,,,,,,,,
44,284,14,13,,,,,,,,,,,,,,,,,,,
70,269,26,45,,,,,,,,,,,,,,,,,,,
43,197,10,18,,,,,,,,,,,,,,,,,,,
116,254,27,44,,,,,,,,,,,,,,,,,,,
109,290,36,46,,,,,,,,,,,,,,,,,,,
43,260,29,30,,,,,,,,,,,,,,,,,,,
42,231,31,45,,,,,,,,,,,,,,,,,,,
42,193,32,48,,,,,,,,,,,,,,,,,,,
43,243,24,26,,,,,,,,,,,,,,,,,,,
43,194,40,67,,,,,,,,,,,,,,,,,,,
43,202,25,20,,,,,,,,,,,,,,,,,,,
43,225,10,11,,,,,,,,,,,,,,,,,,,
43,242,28,43,,,,,,,,,,,,,,,,,,,
54,220,13,10,,,,,,,,,,,,,,,,,,,
43,190,21,18,,,,,,,,,,,,,,,,,,,
46,341,27,67,,,,,,,,,,,,,,,,,,,
43,227,26,44,,,,,,,,,,,,,,,,,,,
58,251,30,30,,,,,,,,,,,,,,,,,,,
42,412,36,56,,,,,,,,,,,,,,,,,,,
60,208,32,51,,,,,,,,,,,,,,,,,,,
78,212,11,15,,,,,,,,,,,,,,,,,,,
43,206,25,42,,,,,,,,,,,,,,,,,,,
50,221,28,20,,,,,,,,,,,,,,,,,,,
43,208,14,13,,,,,,,,,,,,,,,,,,,
76,215,35,49,,,,,,,,,,,,,,,,,,,
45,211,15,17,,,,,,,,,,,,,,,,,,,
85,175,33,52,,,,,,,,,,,,,,,,,,,
43,293,14,14,,,,,,,,,,,,,,,,,,,
44,203,28,23,,,,,,,,,,,,,,,,,,,
43,242,21,17,,,,,,,,,,,,,,,,,,,
43,195,32,40,,,,,,,,,,,,,,,,,,,
104,169,28,44,,,,,,,,,,,,,,,,,,,
45,215,23,19,,,,,,,,,,,,,,,,,,,
47,230,16,23,,,,,,,,,,,,,,,,,,,
50,212,27,36,,,,,,,,,,,,,,,,,,,
88,250,35,46,,,,,,,,,,,,,,,,,,,
Testcase 3,,,,,,,,,,,,,,,,,,,,,,
43,274,10,15,,,,,,,,,,,,,,,,,,,
43,230,16,10,,,,,,,,,,,,,,,,,,,
43,251,22,27,,,,,,,,,,,,,,,,,,,
43,256,18,18,,,,,,,,,,,,,,,,,,,
43,234,10,11,,,,,,,,,,,,,,,,,,,
43,219,22,20,,,,,,,,,,,,,,,,,,,
53,227,26,69,,,,,,,,,,,,,,,,,,,
43,262,20,15,,,,,,,,,,,,,,,,,,,
43,177,30,49,,,,,,,,,,,,,,,,,,,
43,244,19,23,,,,,,,,,,,,,,,,,,,
52,216,26,31,,,,,,,,,,,,,,,,,,,
43,190,14,19,,,,,,,,,,,,,,,,,,,
44,245,22,27,,,,,,,,,,,,,,,,,,,
43,172,28,27,,,,,,,,,,,,,,,,,,,
43,162,8,10,,,,,,,,,,,,,,,,,,,
55,214,28,26,,,,,,,,,,,,,,,,,,,
51,186,11,11,,,,,,,,,,,,,,,,,,,
43,246,30,53,,,,,,,,,,,,,,,,,,,
67,243,29,47,,,,,,,,,,,,,,,,,,,
43,321,17,12,,,,,,,,,,,,,,,,,,,
45,234,35,61,,,,,,,,,,,,,,,,,,,
42,221,30,51,,,,,,,,,,,,,,,,,,,
42,265,19,34,,,,,,,,,,,,,,,,,,,
1077,271,10,13,,,,,,,,,,,,,,,,,,,
42,192,15,30,,,,,,,,,,,,,,,,,,,
43,182,15,13,,,,,,,,,,,,,,,,,,,
50,236,20,29,,,,,,,,,,,,,,,,,,,
51,228,32,39,,,,,,,,,,,,,,,,,,,
51,246,17,17,,,,,,,,,,,,,,,,,,,
53,230,34,25,,,,,,,,,,,,,,,,,,,
43,226,28,35,,,,,,,,,,,,,,,,,,,
50,214,27,29,,,,,,,,,,,,,,,,,,,
49,248,17,26,,,,,,,,,,,,,,,,,,,
45,375,34,29,,,,,,,,,,,,,,,,,,,
45,213,40,53,,,,,,,,,,,,,,,,,,,
43,218,40,29,,,,,,,,,,,,,,,,,,,
43,316,26,33,,,,,,,,,,,,,,,,,,,
46,230,21,37,,,,,,,,,,,,,,,,,,,
43,260,26,28,,,,,,,,,,,,,,,,,,,
43,280,26,43,,,,,,,,,,,,,,,,,,,
54,227,23,10,,,,,,,,,,,,,,,,,,,
Testcase 1,,,,,,,,,,,,,,,,,,,,,,
43,871,10,11,,,,,,,,,,,,,,,,,,,
43,638,10,12,,,,,,,,,,,,,,,,,,,
52,878,10,11,,,,,,,,,,,,,,,,,,,
43,794,14,17,,,,,,,,,,,,,,,,,,,
42,624,17,18,,,,,,,,,,,,,,,,,,,
43,808,15,17,,,,,,,,,,,,,,,,,,,
51,812,14,14,,,,,,,,,,,,,,,,,,,
52,749,17,15,,,,,,,,,,,,,,,,,,,
43,836,14,12,,,,,,,,,,,,,,,,,,,
53,773,14,22,,,,,,,,,,,,,,,,,,,
61,844,11,59,,,,,,,,,,,,,,,,,,,
46,735,19,15,,,,,,,,,,,,,,,,,,,
43,849,15,11,,,,,,,,,,,,,,,,,,,
44,668,10,11,,,,,,,,,,,,,,,,,,,
43,653,14,12,,,,,,,,,,,,,,,,,,,
53,816,16,20,,,,,,,,,,,,,,,,,,,
43,722,14,12,,,,,,,,,,,,,,,,,,,
49,859,15,11,,,,,,,,,,,,,,,,,,,
55,673,15,14,,,,,,,,,,,,,,,,,,,
43,737,13,12,,,,,,,,,,,,,,,,,,,
42,756,17,14,,,,,,,,,,,,,,,,,,,
42,647,12,12,,,,,,,,,,,,,,,,,,,
52,916,15,15,,,,,,,,,,,,,,,,,,,
57,672,15,14,,,,,,,,,,,,,,,,,,,
43,841,10,10,,,,,,,,,,,,,,,,,,,
44,605,14,11,,,,,,,,,,,,,,,,,,,
44,642,10,13,,,,,,,,,,,,,,,,,,,
57,718,16,16,,,,,,,,,,,,,,,,,,,
43,776,15,16,,,,,,,,,,,,,,,,,,,
56,755,10,11,,,,,,,,,,,,,,,,,,,
52,602,10,11,,,,,,,,,,,,,,,,,,,
42,929,16,19,,,,,,,,,,,,,,,,,,,
44,1068,8,12,,,,,,,,,,,,,,,,,,,
54,813,13,13,,,,,,,,,,,,,,,,,,,
43,690,14,13,,,,,,,,,,,,,,,,,,,
43,774,21,46,,,,,,,,,,,,,,,,,,,
61,797,15,31,,,,,,,,,,,,,,,,,,,
51,651,16,14,,,,,,,,,,,,,,,,,,,
42,612,24,28,,,,,,,,,,,,,,,,,,,
77,761,17,17,,,,,,,,,,,,,,,,,,,
43,664,24,19,,,,,,,,,,,,,,,,,,,
44,649,16,19,,,,,,,,,,,,,,,,,,,
42,747,10,11,,,,,,,,,,,,,,,,,,,
44,675,15,23,,,,,,,,,,,,,,,,,,,
Testcase 8,,,,,,,,,,,,,,,,,,,,,,
64,255,21,13,,,,,,,,,,,,,,,,,,,
47,197,32,37,,,,,,,,,,,,,,,,,,,
44,266,31,66,,,,,,,,,,,,,,,,,,,
51,335,14,12,,,,,,,,,,,,,,,,,,,
42,205,21,27,,,,,,,,,,,,,,,,,,,
51,203,32,30,,,,,,,,,,,,,,,,,,,
79,195,36,53,,,,,,,,,,,,,,,,,,,
42,225,23,29,,,,,,,,,,,,,,,,,,,
52,173,17,17,,,,,,,,,,,,,,,,,,,
43,180,15,16,,,,,,,,,,,,,,,,,,,
50,167,14,29,,,,,,,,,,,,,,,,,,,
43,224,26,41,,,,,,,,,,,,,,,,,,,
42,208,21,19,,,,,,,,,,,,,,,,,,,
58,230,10,12,,,,,,,,,,,,,,,,,,,
43,228,14,12,,,,,,,,,,,,,,,,,,,
45,173,10,11,,,,,,,,,,,,,,,,,,,
62,198,40,59,,,,,,,,,,,,,,,,,,,
46,227,15,14,,,,,,,,,,,,,,,,,,,
43,327,10,19,,,,,,,,,,,,,,,,,,,
54,192,38,35,,,,,,,,,,,,,,,,,,,
43,244,25,21,,,,,,,,,,,,,,,,,,,
42,253,32,45,,,,,,,,,,,,,,,,,,,
43,198,12,15,,,,,,,,,,,,,,,,,,,
42,179,16,19,,,,,,,,,,,,,,,,,,,
43,170,11,14,,,,,,,,,,,,,,,,,,,
45,178,27,37,,,,,,,,,,,,,,,,,,,
45,223,18,24,,,,,,,,,,,,,,,,,,,
53,276,35,47,,,,,,,,,,,,,,,,,,,
60,254,21,39,,,,,,,,,,,,,,,,,,,
70,212,25,19,,,,,,,,,,,,,,,,,,,
43,219,22,21,,,,,,,,,,,,,,,,,,,
63,240,34,58,,,,,,,,,,,,,,,,,,,
50,315,26,21,,,,,,,,,,,,,,,,,,,
46,238,23,39,,,,,,,,,,,,,,,,,,,
48,253,11,15,,,,,,,,,,,,,,,,,,,
51,212,20,19,,,,,,,,,,,,,,,,,,,
53,220,18,15,,,,,,,,,,,,,,,,,,,
81,256,31,52,,,,,,,,,,,,,,,,,,,
42,277,27,29,,,,,,,,,,,,,,,,,,,
43,203,28,30,,,,,,,,,,,,,,,,,,,
45,226,29,29,,,,,,,,,,,,,,,,,,,
43,233,22,24,,,,,,,,,,,,,,,,,,,
48,302,28,23,,,,,,,,,,,,,,,,,,,
42,262,27,44,,,,,,,,,,,,,,,,,,,
Testcase 18,,,,,,,,,,,,,,,,,,,,,,
49,218,28,32,,,,,,,,,,,,,,,,,,,
42,295,21,22,,,,,,,,,,,,,,,,,,,
43,187,33,53,,,,,,,,,,,,,,,,,,,
44,250,20,20,,,,,,,,,,,,,,,,,,,
43,277,37,46,,,,,,,,,,,,,,,,,,,
47,261,28,21,,,,,,,,,,,,,,,,,,,
43,194,28,24,,,,,,,,,,,,,,,,,,,
47,202,30,61,,,,,,,,,,,,,,,,,,,
42,251,19,15,,,,,,,,,,,,,,,,,,,
43,203,24,40,,,,,,,,,,,,,,,,,,,
122,263,14,11,,,,,,,,,,,,,,,,,,,
95,240,41,62,,,,,,,,,,,,,,,,,,,
66,216,32,31,,,,,,,,,,,,,,,,,,,
54,224,33,53,,,,,,,,,,,,,,,,,,,
43,225,31,51,,,,,,,,,,,,,,,,,,,
43,183,11,49,,,,,,,,,,,,,,,,,,,
41,210,25,46,,,,,,,,,,,,,,,,,,,
42,221,18,20,,,,,,,,,,,,,,,,,,,
47,230,40,39,,,,,,,,,,,,,,,,,,,
43,225,27,29,,,,,,,,,,,,,,,,,,,
42,196,29,46,,,,,,,,,,,,,,,,,,,
60,254,21,39,,,,,,,,,,,,,,,,,,,
70,212,25,19,,,,,,,,,,,,,,,,,,,
43,219,22,21,,,,,,,,,,,,,,,,,,,
63,240,34,58,,,,,,,,,,,,,,,,,,,
50,315,26,21,,,,,,,,,,,,,,,,,,,
46,238,23,39,,,,,,,,,,,,,,,,,,,
48,253,11,15,,,,,,,,,,,,,,,,,,,
51,212,20,19,,,,,,,,,,,,,,,,,,,
53,220,18,15,,,,,,,,,,,,,,,,,,,
81,256,31,52,,,,,,,,,,,,,,,,,,,
42,277,27,29,,,,,,,,,,,,,,,,,,,
43,203,28,30,,,,,,,,,,,,,,,,,,,
45,226,29,29,,,,,,,,,,,,,,,,,,,
43,233,22,24,,,,,,,,,,,,,,,,,,,
48,302,28,23,,,,,,,,,,,,,,,,,,,
42,262,27,44,,,,,,,,,,,,,,,,,,,
Testcase 5,,,,,,,,,,,,,,,,,,,,,,
49,218,28,32,,,,,,,,,,,,,,,,,,,
42,295,21,22,,,,,,,,,,,,,,,,,,,
43,187,33,53,,,,,,,,,,,,,,,,,,,
44,250,20,20,,,,,,,,,,,,,,,,,,,
43,277,37,46,,,,,,,,,,,,,,,,,,,
47,261,28,21,,,,,,,,,,,,,,,,,,,
43,194,28,24,,,,,,,,,,,,,,,,,,,
47,202,30,61,,,,,,,,,,,,,,,,,,,
42,251,19,15,,,,,,,,,,,,,,,,,,,
43,203,24,40,,,,,,,,,,,,,,,,,,,
122,263,14,11,,,,,,,,,,,,,,,,,,,
95,240,41,62,,,,,,,,,,,,,,,,,,,
66,216,32,31,,,,,,,,,,,,,,,,,,,
54,224,33,53,,,,,,,,,,,,,,,,,,,
43,225,31,51,,,,,,,,,,,,,,,,,,,
43,183,11,49,,,,,,,,,,,,,,,,,,,
41,210,25,46,,,,,,,,,,,,,,,,,,,
42,221,18,20,,,,,,,,,,,,,,,,,,,
47,230,40,39,,,,,,,,,,,,,,,,,,,
43,225,27,29,,,,,,,,,,,,,,,,,,,
42,196,29,46,,,,,,,,,,,,,,,,,,,
43,380,24,37,,,,,,,,,,,,,,,,,,,
45,210,18,13,,,,,,,,,,,,,,,,,,,
58,203,22,21,,,,,,,,,,,,,,,,,,,
45,226,24,51,,,,,,,,,,,,,,,,,,,
52,203,25,42,,,,,,,,,,,,,,,,,,,
42,225,28,19,,,,,,,,,,,,,,,,,,,
43,225,30,37,,,,,,,,,,,,,,,,,,,
43,318,21,37,,,,,,,,,,,,,,,,,,,
43,384,25,47,,,,,,,,,,,,,,,,,,,
79,200,25,39,,,,,,,,,,,,,,,,,,,
50,237,21,26,,,,,,,,,,,,,,,,,,,
42,190,32,41,,,,,,,,,,,,,,,,,,,
42,295,14,12,,,,,,,,,,,,,,,,,,,
52,188,35,43,,,,,,,,,,,,,,,,,,,
44,168,21,18,,,,,,,,,,,,,,,,,,,
43,250,31,54,,,,,,,,,,,,,,,,,,,
Testcase 11,,,,,,,,,,,,,,,,,,,,,,
99,43905,139,42,,,,,,,,,,,,,,,,,,,
49,41007,280,32,,,,,,,,,,,,,,,,,,,
110,40757,254,49,,,,,,,,,,,,,,,,,,,
61,41422,143,32,,,,,,,,,,,,,,,,,,,
79,38878,264,38,,,,,,,,,,,,,,,,,,,
73,38855,256,57,,,,,,,,,,,,,,,,,,,
68,41996,295,58,,,,,,,,,,,,,,,,,,,
101,41745,138,36,,,,,,,,,,,,,,,,,,,
100,40109,149,43,,,,,,,,,,,,,,,,,,,
77,40724,304,38,,,,,,,,,,,,,,,,,,,
80,40836,138,35,,,,,,,,,,,,,,,,,,,
67,42709,113,54,,,,,,,,,,,,,,,,,,,
62,38670,279,39,,,,,,,,,,,,,,,,,,,
63,38251,148,53,,,,,,,,,,,,,,,,,,,
59,41116,144,64,,,,,,,,,,,,,,,,,,,
68,38140,128,44,,,,,,,,,,,,,,,,,,,
66,40085,266,40,,,,,,,,,,,,,,,,,,,
72,41417,118,36,,,,,,,,,,,,,,,,,,,
114,37189,267,56,,,,,,,,,,,,,,,,,,,
51,41890,234,50,,,,,,,,,,,,,,,,,,,
54,39748,272,36,,,,,,,,,,,,,,,,,,,
92,43676,114,45,,,,,,,,,,,,,,,,,,,
63,39382,195,46,,,,,,,,,,,,,,,,,,,
56,39813,112,69,,,,,,,,,,,,,,,,,,,
89,39545,327,43,,,,,,,,,,,,,,,,,,,
66,39915,255,49,,,,,,,,,,,,,,,,,,,
74,39640,301,32,,,,,,,,,,,,,,,,,,,
87,45002,277,38,,,,,,,,,,,,,,,,,,,
74,40075,306,33,,,,,,,,,,,,,,,,,,,
106,41823,149,36,,,,,,,,,,,,,,,,,,,
51,40615,295,43,,,,,,,,,,,,,,,,,,,
115,39030,182,36,,,,,,,,,,,,,,,,,,,
63,40789,142,59,,,,,,,,,,,,,,,,,,,
53,40521,318,45,,,,,,,,,,,,,,,,,,,
53,40074,293,63,,,,,,,,,,,,,,,,,,,
105,39299,129,52,,,,,,,,,,,,,,,,,,,
81,40069,304,34,,,,,,,,,,,,,,,,,,,
81,37829,146,43,,,,,,,,,,,,,,,,,,,
53,40508,120,50,,,,,,,,,,,,,,,,,,,
Testcase 15,,,,,,,,,,,,,,,,,,,,,,
51,308,25,48,,,,,,,,,,,,,,,,,,,
43,326,14,14,,,,,,,,,,,,,,,,,,,
50,431,16,17,,,,,,,,,,,,,,,,,,,
43,470,30,54,,,,,,,,,,,,,,,,,,,
45,366,13,22,,,,,,,,,,,,,,,,,,,
53,371,37,61,,,,,,,,,,,,,,,,,,,
45,389,16,15,,,,,,,,,,,,,,,,,,,
43,392,23,16,,,,,,,,,,,,,,,,,,,
43,346,28,29,,,,,,,,,,,,,,,,,,,
43,413,15,15,,,,,,,,,,,,,,,,,,,
43,332,24,27,,,,,,,,,,,,,,,,,,,
42,392,17,21,,,,,,,,,,,,,,,,,,,
43,340,16,27,,,,,,,,,,,,,,,,,,,
43,333,21,15,,,,,,,,,,,,,,,,,,,
52,413,31,37,,,,,,,,,,,,,,,,,,,
43,356,23,28,,,,,,,,,,,,,,,,,,,
85,383,15,13,,,,,,,,,,,,,,,,,,,
53,515,11,15,,,,,,,,,,,,,,,,,,,
43,330,15,19,,,,,,,,,,,,,,,,,,,
43,392,15,15,,,,,,,,,,,,,,,,,,,
42,387,13,13,,,,,,,,,,,,,,,,,,,
43,319,11,12,,,,,,,,,,,,,,,,,,,
51,301,18,16,,,,,,,,,,,,,,,,,,,
42,313,14,13,,,,,,,,,,,,,,,,,,,
43,318,15,17,,,,,,,,,,,,,,,,,,,
55,359,17,16,,,,,,,,,,,,,,,,,,,
44,437,23,17,,,,,,,,,,,,,,,,,,,
53,422,25,29,,,,,,,,,,,,,,,,,,,
42,381,19,21,,,,,,,,,,,,,,,,,,,
43,368,40,50,,,,,,,,,,,,,,,,,,,
43,374,24,46,,,,,,,,,,,,,,,,,,,
45,338,23,17,,,,,,,,,,,,,,,,,,,
42,367,17,14,,,,,,,,,,,,,,,,,,,
50,397,23,27,,,,,,,,,,,,,,,,,,,
